timestamp_est,symbol,order_id,side,price,size,order_type,action,session_id,data_type,cbdr_window
2025-11-12 06:01:10.706,MNQZ5.CME@RITHMIC,124484540874600,BUY,25720.0,37,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:12.859,MNQZ5.CME@RITHMIC,124486693408200,BUY,25786.75,20,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:13.851,MNQZ5.CME@RITHMIC,124487685683300,BUY,25793.0,24,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:14.911,MNQZ5.CME@RITHMIC,124488746104700,BUY,25720.0,34,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:17.635,MNQZ5.CME@RITHMIC,124491469493900,BUY,25720.0,37,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:19.627,MNQZ5.CME@RITHMIC,124493462168600,BUY,25700.0,143,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:19.644,MNQZ5.CME@RITHMIC,124493478659000,BUY,25720.0,37,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:19.660,MNQZ5.CME@RITHMIC,124493494299800,BUY,25730.0,53,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:19.664,MNQZ5.CME@RITHMIC,124493498876100,BUY,25766.75,25,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:19.745,MNQZ5.CME@RITHMIC,124493579912700,BUY,25794.0,20,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:19.807,MNQZ5.CME@RITHMIC,124493641294000,SELL,25870.0,64,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:19.826,MNQZ5.CME@RITHMIC,124493660199500,SELL,25825.0,39,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:19.841,MNQZ5.CME@RITHMIC,124493675990800,SELL,25820.0,24,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:19.878,MNQZ5.CME@RITHMIC,124493712575900,SELL,25800.0,20,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:19.897,MNQZ5.CME@RITHMIC,124493731567700,SELL,25797.5,22,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:22.755,MNQZ5.CME@RITHMIC,6868768311700,BUY,25766.75,20,LIMIT,UPDATE,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,MBO,NONE
2025-11-12 06:01:23.727,MNQZ5.CME@RITHMIC,6868768443174,SELL,25825.0,20,LIMIT,UPDATE,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,MBO,NONE
2025-11-12 06:01:27.326,MNQZ5.CME@RITHMIC,124501161096900,BUY,25794.0,21,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:28.488,MNQZ5.CME@RITHMIC,124502322857400,SELL,26000.0,228,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:30.468,MNQZ5.CME@RITHMIC,124504302260700,BUY,25794.0,22,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:30.484,MNQZ5.CME@RITHMIC,124504318447600,BUY,25789.25,23,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:31.009,MNQZ5.CME@RITHMIC,124504843463500,BUY,25789.25,22,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:31.254,MNQZ5.CME@RITHMIC,124505088452700,SELL,25797.5,21,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:31.301,MNQZ5.CME@RITHMIC,124505136529400,SELL,25797.5,20,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:32.692,MNQZ5.CME@RITHMIC,124506526372000,SELL,25797.5,20,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:32.732,MNQZ5.CME@RITHMIC,124506567123500,BUY,25720.0,34,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:33.209,MNQZ5.CME@RITHMIC,124507043817200,BUY,25720.0,37,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
