timestamp_est,symbol,event_type,price,detected_size,estimated_total_size,confidence_score,session_id,cbdr_window,iceberg_subtype
2025-11-12 06:03:04.010058,MNQZ5.CME@RITHMIC,STOP,25802.75,1,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:03:04.010064,MNQZ5.CME@RITHMIC,STOP,25802.75,1,3,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:03:04.010077,MNQZ5.CME@RITHMIC,STOP,25803.0,1,4,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:03:04.010084,MNQZ5.CME@RITHMIC,STOP,25803.0,1,5,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:03:04.010113,MNQZ5.CME@RITHMIC,STOP,25803.0,1,6,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:03:04.010119,MNQZ5.CME@RITHMIC,STOP,25803.0,1,7,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:03:04.010131,MNQZ5.CME@RITHMIC,STOP,25803.0,1,8,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:03:04.010138,MNQZ5.CME@RITHMIC,STOP,25803.0,1,9,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:03:04.010148,MNQZ5.CME@RITHMIC,STOP,25803.0,1,10,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:03:04.010155,MNQZ5.CME@RITHMIC,STOP,25803.0,1,11,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:03:04.010165,MNQZ5.CME@RITHMIC,STOP,25803.0,1,12,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:03:32.201717,MNQZ5.CME@RITHMIC,STOP,25798.75,2,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:04:15.276793,MNQZ5.CME@RITHMIC,STOP,25793.25,2,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:04:55.772902,MNQZ5.CME@RITHMIC,STOP,25796.0,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:04:55.773821,MNQZ5.CME@RITHMIC,STOP,25796.0,1,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:04:55.773828,MNQZ5.CME@RITHMIC,STOP,25796.0,2,4,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:05:20.060370,MNQZ5.CME@RITHMIC,STOP,25793.75,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:05:22.097350,MNQZ5.CME@RITHMIC,STOP,25793.0,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:05:22.097364,MNQZ5.CME@RITHMIC,STOP,25793.0,1,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:05:22.097368,MNQZ5.CME@RITHMIC,STOP,25793.0,1,3,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:05:22.098337,MNQZ5.CME@RITHMIC,STOP,25793.0,1,4,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:05:33.641431,MNQZ5.CME@RITHMIC,STOP,25795.5,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:05:33.641439,MNQZ5.CME@RITHMIC,STOP,25795.75,1,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:05:33.641459,MNQZ5.CME@RITHMIC,STOP,25795.75,1,3,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:05:36.312834,MNQZ5.CME@RITHMIC,STOP,25796.0,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:05:36.312840,MNQZ5.CME@RITHMIC,STOP,25796.25,1,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:05:36.312869,MNQZ5.CME@RITHMIC,STOP,25796.5,1,3,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:06:21.532218,MNQZ5.CME@RITHMIC,STOP,25797.0,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:06:28.601923,MNQZ5.CME@RITHMIC,STOP,25798.25,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:22.580389,MNQZ5.CME@RITHMIC,STOP,25796.75,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:22.580393,MNQZ5.CME@RITHMIC,STOP,25796.75,1,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:22.581024,MNQZ5.CME@RITHMIC,STOP,25796.75,1,3,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:22.581030,MNQZ5.CME@RITHMIC,STOP,25796.5,1,4,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:22.581092,MNQZ5.CME@RITHMIC,STOP,25796.5,1,5,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
