time,open,high,low,close
1761895800,26173,26211.75,26172.75,26205.5
1761896700,26205.75,26219.5,26201.5,26218
1761897600,26217.75,26218.25,26159.5,26160
1761898500,26159.75,26181.25,26157.25,26178.5
1761899400,26178.5,26185,26163.25,26182
1761900300,26181.75,26201.25,26178.5,26198
1761901200,26198.5,26210.75,26191.5,26207.75
1761902100,26207.75,26208.25,26187.75,26190.25
1761903000,26190.75,26197.25,26177,26182.5
1761903900,26181.75,26191,26177,26181.5
1761904800,26182.25,26187.75,26174.75,26178.75
1761905700,26179,26180,26161,26170.5
1761906600,26169.75,26193,26165,26187.25
1761907500,26187,26195.5,26179.25,26181.5
1761908400,26181.75,26200,26166.25,26192
1761909300,26192.25,26204.75,26180.25,26204.25
1761910200,26204.5,26207.25,26192.25,26203.25
1761911100,26203.25,26232,26203.25,26220.75
1761912000,26220.5,26243,26216.5,26241
1761912900,26241.5,26273,26240.5,26262.75
1761913800,26264.25,26269.5,26209,26219.5
1761914700,26219.75,26230.75,26204,26211.25
1761915600,26210.75,26217,26191,26209.75
1761916500,26209.75,26211.75,26191.25,26198.5
1761917400,26199.25,26199.5,26103.5,26118.5
1761918300,26118.5,26133.5,26080.25,26102.75
1761919200,26102.5,26116.5,26062.5,26085.25
1761920100,26085,26115.75,26057.75,26106.5
1761921000,26106.25,26167.75,26100.5,26163.25
1761921900,26163,26181.5,26148,26164.75
1761922800,26164.75,26175.5,26149.5,26169.25
1761923700,26169.75,26183,26131.5,26136.75
1761924600,26137.5,26155,26073,26120.75
1761925500,26120.25,26157.75,26050,26051.75
1761926400,26052,26053.75,25983.5,26007.5
1761927300,26007.5,26022.25,25955.5,26005.25
1761928200,26005.25,26036.75,25974.75,25982.75
1761929100,25983,26000.5,25931.5,25949.5
1761930000,25949.5,25959.75,25902.5,25916.25
1761930900,25915.5,25928.25,25892.75,25910
1761931800,25910.5,25953.25,25887.75,25942.25
1761932700,25942,25980.75,25942,25948
1761933600,25948,25999.25,25944.25,25994.5
1761934500,25994.5,26015.75,25979,26010.5
1761935400,26010.25,26020.75,25989.5,26011.25
1761936300,26011,26022.5,25971,26014
1761937200,26014.25,26039.75,25996.5,26032.5
1761938100,26032.5,26095.5,26024.75,26085.75
1761939000,26085.75,26118.25,26075.5,26094
1761939900,26093.75,26095.5,25992.25,25992.75
1761940800,25992.75,25998.75,25967.25,25984
1761941700,25983.75,25990,25971,25977.5
1761942600,25977.75,25985.5,25974,25978
1761943500,25978.5,25994.25,25975,25983.75
1762124400,26026,26072,26012.5,26070.75
1762125300,26070.5,26077.25,26049.25,26058
1762126200,26058,26087.75,26053.5,26075.5
1762127100,26076,26092.75,26075.5,26080.75
1762128000,26080.75,26098,26078.75,26091.25
1762128900,26090.75,26114,26089.5,26104
1762129800,26104.5,26116,26101.5,26112.25
1762130700,26112.25,26119.75,26110,26116.25
1762131600,26116.5,26121.75,26101,26110
1762132500,26110.5,26123,26101,26106.25
1762133400,26106.5,26109.25,26087.5,26099.25
1762134300,26099.25,26100.5,26088,26089
1762135200,26089.5,26096.25,26083.25,26094.75
1762136100,26094.5,26114.5,26091.75,26104.25
1762137000,26103.5,26104.5,26069,26085.25
1762137900,26086,26092.75,26078,26083
1762138800,26082.5,26085.5,26063.25,26065.5
1762139700,26066,26078.5,26049.75,26063.75
1762140600,26064.25,26081.5,26058.75,26072.25
1762141500,26071.5,26079,26062.5,26076
1762142400,26075.5,26076.75,26065,26072.75
1762143300,26073,26086,26066.5,26078.75
1762144200,26078.5,26086,26070.25,26075
1762145100,26075,26085.25,26074.25,26084.5
1762146000,26084.25,26088,26075.75,26078
1762146900,26078.5,26079.5,26055.25,26077.5
1762147800,26077.5,26088,26068.25,26082
1762148700,26082.25,26082.5,26056.25,26067.75
1762149600,26068,26081.75,26061.75,26061.75
1762150500,26061.5,26065,26033.25,26041.75
1762151400,26041.75,26060.5,26036.5,26043.5
1762152300,26043.5,26060.5,26031.5,26048
1762153200,26048.25,26049.75,26025,26029.75
1762154100,26030,26048.75,26022.75,26036.75
1762155000,26037,26040.25,26020,26020
1762155900,26019.75,26037.5,26016.75,26031.25
1762156800,26031,26054,26017.75,26051
1762157700,26051.75,26068.75,26039.5,26065
1762158600,26065,26079,26058.5,26079
1762159500,26078.75,26097.25,26074.75,26086.5
1762160400,26086.25,26122.5,26082.5,26121.5
1762161300,26122,26149.5,26119,26146.25
1762162200,26146.5,26155.75,26136.25,26147
1762163100,26147.25,26149,26125.5,26129.75
1762164000,26130,26138.75,26123.75,26133.75
1762164900,26133.25,26144.75,26127.5,26140.25
1762165800,26140.5,26154.5,26131.75,26154
1762166700,26154,26163.25,26132.25,26138.75
1762167600,26138.5,26170.25,26138,26158.5
1762168500,26159.25,26178.75,26157.25,26161.5
1762169400,26161,26168.5,26153,26160.25
1762170300,26160.5,26174,26150,26153
1762171200,26153.25,26182,26150.5,26179.25
1762172100,26179.75,26180,26151.75,26152.5
1762173000,26152.75,26166,26144,26156.75
1762173900,26156.25,26173.75,26151,26153.25
1762174800,26152.5,26157.25,26133.5,26148.25
1762175700,26148.75,26159.25,26140.5,26143.25
1762176600,26143.5,26180.5,26142.5,26175.25
1762177500,26175.5,26191.75,26165.5,26188.5
1762178400,26188.75,26252.75,26188.5,26211.25
1762179300,26211,26236,26208,26235.5
1762180200,26235.75,26265.75,26155,26167.5
1762181100,26167.25,26182.5,26119.5,26133.5
1762182000,26139.5,26155,26088.25,26125.75
1762182900,26125.75,26128.25,26034,26044
1762183800,26044,26102.5,26012.75,26091
1762184700,26091,26112.5,26054,26088.5
1762185600,26088.5,26095.5,26059,26081.75
1762186500,26082.25,26104,26046,26052
1762187400,26052.75,26099.5,26043.25,26078.75
1762188300,26079.25,26127.5,26055,26118.25
1762189200,26119.25,26132.75,26083,26132.25
1762190100,26132.25,26144,26088.75,26101.25
1762191000,26101.5,26149,26100,26138.25
1762191900,26137.75,26159.5,26135,26150
1762192800,26150,26160.25,26141.5,26156
1762193700,26155.5,26157.75,26136,26140
1762194600,26140.25,26166,26140,26158
1762195500,26157.75,26159.5,26124,26129.5
1762196400,26129,26138.75,26103.25,26112.75
1762197300,26112.75,26122,26087,26096.25
1762198200,26095.25,26113.75,26066,26091
1762199100,26090.75,26125.5,26089.5,26116.5
1762200000,26116.5,26124.75,26094.75,26106.25
1762200900,26106.25,26113,26088,26099.5
1762201800,26099.75,26106,26071.75,26105.75
1762202700,26105.75,26112,26072.25,26110.25
1762203600,26110.5,26178,26097.75,26126.25
1762204500,26125.5,26127.25,26104,26106.5
1762205400,26106.25,26117.25,26106,26112.25
1762206300,26111.75,26120.75,26107.25,26109.5
1762210800,26105.5,26105.5,26080.5,26081.75
1762211700,26082.5,26089.5,26075,26085.5
1762212600,26086.5,26087.75,26064.25,26066
1762213500,26066,26074,26061,26069
1762214400,26068.5,26069.25,26041.75,26043.5
1762215300,26043.75,26045.5,25983,25984.25
1762216200,25985,26013.5,25982,26005.25
1762217100,26006.25,26018.75,26002.25,26013.75
1762218000,26014.75,26016,25992.5,26005.75
1762218900,26005.75,26030.75,26000.25,26020.25
1762219800,26020.25,26020.75,26002,26010.75
1762220700,26010.5,26019.25,25988.5,26008.25
1762221600,26007.5,26008,25987.5,25990
1762222500,25990,25995.5,25973.75,25975.25
1762223400,25976.25,25981.25,25957.75,25959.5
1762224300,25959.75,25968,25941,25941.5
1762225200,25941.5,25976.25,25938,25971.5
1762226100,25972,25973,25953.5,25964.5
1762227000,25964.5,25966.5,25924.5,25937.75
1762227900,25937.5,25938.25,25926.5,25927.75
1762228800,25928,25941.25,25918.25,25926.25
1762229700,25926.5,25932.75,25908.75,25919.75
1762230600,25920,25926.75,25905.75,25910.25
1762231500,25910,25928.5,25909,25922.75
1762232400,25923.5,25927,25906.75,25908.75
1762233300,25907.75,25912,25869.5,25871.5
1762234200,25871.75,25886.5,25824.25,25825.25
1762235100,25824.75,25849.75,25806.75,25821
1762236000,25822,25825,25754.25,25788.75
1762236900,25789.5,25799.25,25764,25767
1762237800,25767.5,25784.75,25744.25,25772
1762238700,25771.5,25799.25,25768.5,25775.5
1762239600,25775.25,25779,25737.25,25751
1762240500,25749.75,25793,25738.5,25769.25
1762241400,25769.75,25803.5,25764.25,25775.25
1762242300,25774.75,25801.5,25765.25,25791.75
1762243200,25792.25,25792.25,25732,25737.75
1762244100,25736.75,25780.75,25729,25766.75
1762245000,25766,25790.5,25760.25,25781.75
1762245900,25781.75,25787,25754.75,25765.5
1762246800,25765.75,25789.25,25728.5,25751.25
1762247700,25750.75,25764,25721.75,25729
1762248600,25728.75,25752.5,25711.25,25717.75
1762249500,25718,25731,25667,25674.25
1762250400,25674.75,25693.75,25644.75,25683.25
1762251300,25682.5,25717.25,25671.5,25714.75
1762252200,25715.25,25763.5,25713.25,25760.25
1762253100,25760.25,25772.5,25750.75,25758
1762254000,25757.25,25767.5,25746.75,25757.5
1762254900,25758.5,25771.25,25755.25,25768
1762255800,25767.5,25792.75,25765.25,25781.25
1762256700,25781,25785.5,25761.5,25766.75
1762257600,25767.5,25771.75,25725,25743.5
1762258500,25743.25,25784.5,25741.25,25781.25
1762259400,25781,25790.5,25749.75,25753
1762260300,25753.75,25776.25,25744.5,25754.75
1762261200,25754.25,25767,25741.25,25743.5
1762262100,25743.5,25748.5,25704.75,25713.25
1762263000,25712.5,25718,25684.5,25711.75
1762263900,25711.75,25735.25,25696,25716
1762264800,25715.25,25725.75,25683.25,25716.75
1762265700,25716.5,25751.5,25716.5,25741.5
1762266600,25741.5,25782,25663,25775.5
1762267500,25775,25881,25735,25874.75
1762268400,25874.75,25886,25825.5,25852.25
1762269300,25852.25,25893.75,25843.5,25864.5
1762270200,25864.25,25890.25,25842.25,25871.75
1762271100,25872,25872.25,25763.75,25788.5
1762272000,25789.25,25823,25758.5,25783.5
1762272900,25783,25790.25,25737.75,25771.25
1762273800,25771.75,25796.25,25751.5,25773.25
1762274700,25773.25,25780.75,25723.25,25755.5
1762275600,25756.5,25757.75,25700.5,25704.5
1762276500,25705.5,25733.5,25642.25,25710
1762277400,25710.5,25718.25,25662,25679
1762278300,25679.25,25728.5,25662.5,25679.25
1762279200,25678.5,25682.75,25640.5,25659.25
1762280100,25659.25,25670,25611.25,25626.25
1762281000,25626.25,25653,25603,25651.25
1762281900,25650.75,25685,25629,25668.75
1762282800,25667.5,25688.5,25640.25,25652.25
1762283700,25652.5,25678.75,25637,25660.75
1762284600,25660.25,25665.5,25574.25,25592.75
1762285500,25592.5,25609.75,25575.75,25606
1762286400,25605.75,25627.5,25588.5,25623
1762287300,25623.5,25639.75,25581.25,25620.5
1762288200,25620.75,25634.25,25594.25,25629.25
1762289100,25629.25,25643,25545,25579.5
1762290000,25579,25593,25553.75,25567
1762290900,25566.5,25582.5,25517,25542.25
1762291800,25542.75,25564,25521.75,25563.75
1762292700,25563.5,25584.5,25557.5,25575.5
1762297200,25545,25574.5,25510.5,25529
1762298100,25528.75,25539.75,25514.25,25519
1762299000,25519.25,25537,25513,25527
1762299900,25527.5,25528.25,25501.75,25503.75
1762300800,25504.25,25504.25,25456,25491.75
1762301700,25491.5,25497.5,25451,25452.5
1762302600,25452.5,25455.25,25414,25418.25
1762303500,25417.75,25424.75,25407.5,25410
1762304400,25409.5,25411.25,25353.25,25384.5
