time,open,high,low,close
1756375200,23856.25,23984.75,23814,23850.75
1756389600,23851,24016,23834.75,24007.75
1756404000,24007.75,24045.25,23992.75,24002.75
1756418400,24002.5,24004.25,23971,23974.5
1756432800,23974.25,23982.5,23955,23966
1756447200,23965.75,23978.5,23853.5,23887
1756461600,23887.75,23922.25,23748.5,23760.75
1756476000,23761,23793.25,23643,23701.25
1756490400,23701,23736.5,23667,23696
1756677600,23720,23796.75,23705.75,23759
1756692000,23759.25,23759.75,23649,23671.75
1756706400,23671.25,23744,23613,23726.75
1756720800,23727,23743.25,23684.75,23730.25
1756735200,23730,23748.5,23717.5,23744.25
1756764000,23744.25,23752.5,23669.75,23680
1756778400,23680.5,23692.25,23646.25,23654.75
1756792800,23654.5,23693.75,23509,23534
1756807200,23533.5,23553,23266.5,23474.75
1756821600,23471.75,23521.75,23268,23430.5
1756836000,23430.75,23628,23399,23620.75
1756850400,23623,23629,23553.25,23578.25
1756864800,23578,23580.75,23541.25,23558.75
1756879200,23558,23686,23550.75,23679.75
1756893600,23679.25,23700,23611.25,23623.25
1756908000,23624,23767.5,23587.75,23606.75
1756922400,23607,23721.5,23559.75,23697
1756936800,23697.5,23756.75,23672,23739
1756951200,23739.75,23774,23700,23710
1756965600,23710,23759.5,23692,23757.75
1756980000,23757.5,23789.75,23698.75,23720.75
1756994400,23720.75,23845.75,23651.5,23824.75
1757008800,23825,23950.5,23824,23925.25
1757023200,23935.5,23981,23933.25,23976.5
1757037600,23976.25,24011.75,23959.5,24002.75
1757052000,24003,24033.5,23985,24025.25
1757066400,24025.5,24144,23966.5,24094.25
1757080800,24094.25,24095.5,23746.5,23855.5
1757095200,23855.5,23937.75,23844.25,23914.5
1757282400,23918,24033.5,23892,24009.5
1757296800,24010.25,24012.75,23967.75,23972.75
1757311200,23972.25,24026.75,23971.75,24023
1757325600,24022.75,24118,23985.5,24087
1757340000,24087.75,24129.5,24003.75,24024
1757354400,24024.25,24061.25,24000,24040
1757368800,24041.25,24072.75,24032.25,24055.25
1757383200,24055.75,24089,24055.75,24076
1757397600,24076.25,24126.75,24071.75,24086
1757412000,24086,24101.5,24041.75,24056.5
1757426400,24057.5,24096.75,23968,24081
1757440800,24080.5,24159.5,24063.5,24130.5
1757455200,24141.75,24153.25,24115.5,24144
1757469600,24144.75,24171.5,24138.75,24160.25
1757484000,24160.25,24195.25,24122.5,24150.25
1757498400,24150.5,24282.5,24135.75,24172.25
1757512800,24172,24232.25,24117,24139.5
1757527200,24139,24141.25,24026.5,24100.5
1757541600,24098.25,24158.25,24093,24149
1757556000,24149,24160.5,24113,24127
1757570400,24126.5,24183.5,24119.75,24161.75
1757584800,24161.5,24239.25,24086.5,24220.75
1757599200,24220.25,24290.25,24188.25,24274
1757613600,24274.25,24285.75,24245.25,24248
1757628000,24269.5,24271,24242.5,24246.25
1757642400,24246,24281,24233.5,24276.5
1757656800,24276.5,24277.75,24210.25,24252.25
1757671200,24252.25,24305,24243.5,24287.5
1757685600,24286.25,24370.5,24259.5,24365.5
1757700000,24365.5,24400.5,24329,24356
1757887200,24353.75,24371.25,24333,24356.25
1757901600,24355.5,24386.25,24349.75,24381.5
1757916000,24381.5,24400.75,24317,24337
1757930400,24337.25,24503.75,24332.75,24502.25
1757944800,24502,24535.75,24462.5,24528.75
1757959200,24528.25,24557.25,24486.75,24537.25
1757973600,24536,24562.75,24525,24556.25
1757988000,24556.5,24602,24553.75,24594.5
1758002400,24594.75,24646.75,24582,24626.5
1758016800,24626.5,24632.25,24523.5,24538
1758031200,24538,24561,24499,24534.25
1758045600,24534.25,24561.25,24516.75,24531
1758060000,24531,24551.5,24525.25,24530.75
1758074400,24530.75,24533.5,24499.75,24518.25
1758088800,24518.25,24553,24456,24511.75
1758103200,24511.75,24540.75,24462,24477.75
1758117600,24477.5,24480.75,24374.75,24454.75
1758132000,24459.25,24550.75,24241.75,24501.25
1758146400,24504,24597.25,24492.5,24593.25
1758160800,24593,24653.75,24587,24614.75
1758175200,24614.75,24733.5,24586,24717
1758189600,24717.5,24766,24598.75,24697.25
