date,bias_category,bias_score,confidence,start_price,end_price,price_change,price_change_pct,actual_direction,accuracy,day_low,day_high,hit_plus_1sd,hit_plus_2sd,hit_plus_3sd,hit_minus_1sd,hit_minus_2sd,hit_minus_3sd
2025-10-29,STRONG_BULLISH,70.5,55,24967.5,26311.5,1344.0,5.3829978972664465,BULLISH,CORRECT,26047.5,26378.5,False,False,False,False,False,False
2025-10-31,BEARISH,32.5,100,24967.5,25982.4375,1014.9375,4.065034544908381,BULLISH,WRONG,25887.75,26200.998283764395,False,False,False,False,False,False
2025-11-03,STRONG_BULLISH,98.5,80,24967.5,26118.75,1151.25,4.610994292580354,BULLISH,CORRECT,26012.75,26265.75,False,False,False,False,False,False
2025-11-04,BEARISH,33.5,65,24967.5,25578.5625,611.0625,2.447431661159507,BULLISH,WRONG,25545.0,25893.75,False,False,False,False,False,False
2025-11-05,NEUTRAL,48.5,80,24967.5,25740.25,772.75,3.0950235305897666,BULLISH,WRONG,25487.75,25878.5,False,False,False,False,False,False
2025-11-07,BEARISH,30.5,55,24967.5,25180.5,213.0,0.8531090417542806,BULLISH,WRONG,24709.0,25205.0,False,False,False,False,False,False
2025-11-10,STRONG_BULLISH,83.5,65,24967.5,25734.75,767.25,3.0729948933613698,BULLISH,CORRECT,25452.25,25760.0,False,False,False,False,False,False
2025-11-11,BEARISH,30.5,35,24967.5,25675.75,708.25,2.8366876940022028,BULLISH,WRONG,25478.5,25695.75,False,False,False,False,False,False
2025-11-12,BULLISH,65.5,90,24967.5,25647.25,679.75,2.7225393010914187,BULLISH,CORRECT,25488.75,25780.5,False,False,False,False,False,False
2025-11-13,STRONG_BEARISH,23.0,65,24967.5,25156.25,188.75,0.7559827776108942,BULLISH,WRONG,25002.0,25501.5,False,False,False,False,False,False
2025-11-14,BEARISH,44.0,100,24967.5,25097.5,130.0,0.5206768799439271,BULLISH,WRONG,24626.0,25293.5,True,True,False,True,False,False
2025-11-17,STRONG_BEARISH,6.5,100,24967.5,24967.5,0.0,0.0,NEUTRAL,PARTIAL,24943.5,25254.75,True,False,False,True,True,False
