timestamp,symbol,order_id,side,price,size,order_type,action,session_id,cbdr_window,metadata,additional_data,data_type
2025-11-14 07:03:40.047000+00:00,MNQZ5.CME@RITHMIC,6868908095570,SELL,25069.0,20,LIMIT,UPDATE,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 20, 'price': 100276, 'orderId': '6868908095570', 'event_type': 'REPLACE'}",MBO
2025-11-14 07:03:38.648000+00:00,MNQZ5.CME@RITHMIC,69850274898000,SELL,25069.0,25,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 25, 'isBid': False, 'price': 100276, 'data_type': 'DEPTH'}",DEPTH
2025-11-14 07:03:38.600000+00:00,MNQZ5.CME@RITHMIC,69850227098500,SELL,25220.0,104,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 104, 'isBid': False, 'price': 100880, 'data_type': 'DEPTH'}",DEPTH
2025-11-14 07:03:38.510000+00:00,MNQZ5.CME@RITHMIC,69850136412299,BUY,25010.0,29,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 29, 'isBid': True, 'price': 100040, 'data_type': 'DEPTH'}",DEPTH
2025-11-14 07:03:34.904000+00:00,MNQZ5.CME@RITHMIC,69846530532200,SELL,25300.0,94,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 94, 'isBid': False, 'price': 101200, 'data_type': 'DEPTH'}",DEPTH
2025-11-14 07:03:32.931000+00:00,MNQZ5.CME@RITHMIC,69844557371999,BUY,25012.5,22,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 22, 'isBid': True, 'price': 100050, 'data_type': 'DEPTH'}",DEPTH
2025-11-14 07:03:32.928000+00:00,MNQZ5.CME@RITHMIC,6868908036934,BUY,25012.5,20,LIMIT,UPDATE,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 20, 'price': 100050, 'orderId': '6868908036934', 'event_type': 'REPLACE'}",MBO
2025-11-14 07:03:32.760000+00:00,MNQZ5.CME@RITHMIC,69844386079300,SELL,25071.25,24,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 24, 'isBid': False, 'price': 100285, 'data_type': 'DEPTH'}",DEPTH
2025-11-14 07:03:32.756000+00:00,MNQZ5.CME@RITHMIC,6868908095570,SELL,25071.25,20,LIMIT,UPDATE,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 20, 'price': 100285, 'orderId': '6868908095570', 'event_type': 'REPLACE'}",MBO
2025-11-14 07:03:26.725000+00:00,MNQZ5.CME@RITHMIC,6868908036934,BUY,25015.0,20,LIMIT,UPDATE,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 20, 'price': 100060, 'orderId': '6868908036934', 'event_type': 'REPLACE'}",MBO
2025-11-14 07:03:25.458000+00:00,MNQZ5.CME@RITHMIC,6868908095570,SELL,25073.5,20,LIMIT,UPDATE,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 20, 'price': 100294, 'orderId': '6868908095570', 'event_type': 'REPLACE'}",MBO
2025-11-14 07:03:24.392000+00:00,MNQZ5.CME@RITHMIC,69836018842100,SELL,25073.5,24,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 24, 'isBid': False, 'price': 100294, 'data_type': 'DEPTH'}",DEPTH
2025-11-14 07:03:24.330000+00:00,MNQZ5.CME@RITHMIC,69835955964299,SELL,25180.0,22,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 22, 'isBid': False, 'price': 100720, 'data_type': 'DEPTH'}",DEPTH
2025-11-14 07:03:24.327000+00:00,MNQZ5.CME@RITHMIC,69835953501200,SELL,25240.0,45,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 45, 'isBid': False, 'price': 100960, 'data_type': 'DEPTH'}",DEPTH
2025-11-14 07:03:24.324000+00:00,MNQZ5.CME@RITHMIC,69835950098000,SELL,25350.0,82,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251113_230640_bedbcb11,NONE,,"{'size': 82, 'isBid': False, 'price': 101400, 'data_type': 'DEPTH'}",DEPTH
