price_level,side,action,order_count,total_size,avg_size,first_seen,last_seen
25440.0,BUY,ADD,8,12,1.5000000000000000,2025-11-11 07:44:18.328000-05:00,2025-11-11 08:12:51.023000-05:00
25440.0,BUY,DEPTH,30,83,2.7666666666666667,2025-11-11 07:16:11.305000-05:00,2025-11-11 08:25:59.291000-05:00
25440.0,BUY,UPDATE,7,15,2.1428571428571429,2025-11-11 07:39:41.149000-05:00,2025-11-11 08:21:39.560000-05:00
25430.0,BUY,ADD,8,40,5.0000000000000000,2025-11-11 07:15:20.370000-05:00,2025-11-11 08:12:30.643000-05:00
25430.0,BUY,DEPTH,25,225,9.0000000000000000,2025-11-11 07:02:38.632000-05:00,2025-11-11 08:29:22.962000-05:00
25430.0,BUY,UPDATE,7,22,3.1428571428571429,2025-11-11 07:37:11.821000-05:00,2025-11-11 08:29:25.902000-05:00
25420.0,BUY,ADD,17,35,2.0588235294117647,2025-11-11 07:00:16.209000-05:00,2025-11-11 08:26:35.477000-05:00
25420.0,BUY,DEPTH,42,235,5.5952380952380952,2025-11-11 07:00:04.078000-05:00,2025-11-11 08:29:53.576000-05:00
25420.0,BUY,UPDATE,7,13,1.8571428571428571,2025-11-11 07:51:23.022000-05:00,2025-11-11 08:27:39.929000-05:00
25410.0,BUY,ADD,8,9,1.1250000000000000,2025-11-11 07:18:34.072000-05:00,2025-11-11 08:29:33.212000-05:00
25410.0,BUY,DEPTH,23,85,3.6956521739130435,2025-11-11 07:04:17.610000-05:00,2025-11-11 08:29:53.571000-05:00
25410.0,BUY,UPDATE,5,8,1.6000000000000000,2025-11-11 07:04:24.875000-05:00,2025-11-11 08:26:01.220000-05:00
25400.0,BUY,ADD,15,23,1.5333333333333333,2025-11-11 07:06:02.282000-05:00,2025-11-11 08:29:33.134000-05:00
25400.0,BUY,DEPTH,44,1352,30.7272727272727273,2025-11-11 07:02:53.011000-05:00,2025-11-11 08:29:22.955000-05:00
25400.0,BUY,UPDATE,8,13,1.6250000000000000,2025-11-11 07:30:58.489000-05:00,2025-11-11 08:28:32.151000-05:00
