timestamp,symbol,event_type,side,price,absorbed_volume,aggressor_volume,liquidity_removed,absorption_ratio,imbalance_ratio,session_id,cbdr_window,is_in_cbdr,significance_score
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25574.75,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.616
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25577.75,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25573.5,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25574.5,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.616
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25577.5,6,6,6,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.624
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25573.25,6,6,6,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.624
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25569.25,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25575.0,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.616
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25570.75,5,5,5,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.636
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25572.75,6,6,6,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.632
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25571.75,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.648
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25575.75,6,6,6,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.656
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25576.75,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.628
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25570.5,7,7,7,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.62
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25569.5,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25572.5,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25571.5,10,10,10,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.624
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25575.5,8,8,8,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.62
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25576.5,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.644
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25571.25,25,25,25,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.692
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,SELL,25570.25,7,7,7,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.628
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25572.25,7,7,7,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25575.25,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25576.25,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.6639999999999999
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25574.25,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25577.25,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.648
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25570.0,5,5,5,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25571.0,6,6,6,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.656
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25573.0,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.632
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25572.0,8,8,8,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.62
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25576.0,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.6679999999999999
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25577.0,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.62
2025-11-13 06:47:42.950000,MNQZ5,ABSORPTION,BUY,25574.0,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25579.25,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25579.75,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.616
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25580.25,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25580.75,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
