timestamp,symbol,price,side,event_type,iceberg_subtype,detected_size,confidence_score
2025-11-11 07:13:31.167134-05:00,MNQZ5.CME@RITHMIC,25629.0,SELL,STOP,,1,0.0
2025-11-11 07:13:31.912849-05:00,MNQZ5.CME@RITHMIC,25628.5,SELL,STOP,,1,0.0
2025-11-11 07:13:31.912951-05:00,MNQZ5.CME@RITHMIC,25628.5,SELL,STOP,,1,0.0
2025-11-11 07:13:31.912964-05:00,MNQZ5.CME@RITHMIC,25628.5,SELL,STOP,,1,0.0
2025-11-11 07:13:31.912986-05:00,MNQZ5.CME@RITHMIC,25628.25,SELL,STOP,,1,0.0
2025-11-11 07:13:31.912996-05:00,MNQZ5.CME@RITHMIC,25628.25,SELL,STOP,,1,0.0
2025-11-11 07:13:31.913012-05:00,MNQZ5.CME@RITHMIC,25628.25,SELL,STOP,,1,0.0
2025-11-11 07:13:40.978836-05:00,MNQZ5.CME@RITHMIC,25628.0,SELL,STOP,,1,0.0
2025-11-11 07:13:40.978877-05:00,MNQZ5.CME@RITHMIC,25628.0,SELL,STOP,,1,0.0
2025-11-11 07:13:41.090958-05:00,MNQZ5.CME@RITHMIC,25627.5,SELL,STOP,,1,0.0
2025-11-11 07:13:41.090964-05:00,MNQZ5.CME@RITHMIC,25627.5,SELL,STOP,,1,0.0
2025-11-11 07:13:41.090976-05:00,MNQZ5.CME@RITHMIC,25627.25,SELL,STOP,,1,0.0
2025-11-11 07:13:41.116763-05:00,MNQZ5.CME@RITHMIC,25627.0,SELL,STOP,,1,0.0
2025-11-11 07:13:41.116769-05:00,MNQZ5.CME@RITHMIC,25627.0,SELL,STOP,,1,0.0
2025-11-11 07:13:41.116782-05:00,MNQZ5.CME@RITHMIC,25627.0,SELL,STOP,,1,0.0
2025-11-11 07:14:20.624658-05:00,MNQZ5.CME@RITHMIC,25629.25,SELL,STOP,,1,0.0
2025-11-11 07:14:43.539060-05:00,MNQZ5.CME@RITHMIC,25632.25,BUY,STOP,,1,0.0
2025-11-11 07:15:11.828183-05:00,MNQZ5.CME@RITHMIC,25635.75,BUY,STOP,,1,0.0
2025-11-11 07:15:12.390611-05:00,MNQZ5.CME@RITHMIC,25636.0,BUY,STOP,,1,0.0
2025-11-11 07:15:12.390618-05:00,MNQZ5.CME@RITHMIC,25636.0,BUY,STOP,,1,0.0
2025-11-11 07:15:12.390627-05:00,MNQZ5.CME@RITHMIC,25636.0,BUY,STOP,,1,0.0
2025-11-11 07:15:12.390630-05:00,MNQZ5.CME@RITHMIC,25636.0,BUY,STOP,,1,0.0
2025-11-11 07:15:12.390638-05:00,MNQZ5.CME@RITHMIC,25636.0,BUY,STOP,,1,0.0
2025-11-11 07:15:43.423593-05:00,MNQZ5.CME@RITHMIC,25639.0,BUY,STOP,,1,0.0
2025-11-11 07:15:43.423616-05:00,MNQZ5.CME@RITHMIC,25639.0,BUY,STOP,,1,0.0
2025-11-11 07:15:43.423622-05:00,MNQZ5.CME@RITHMIC,25639.0,BUY,STOP,,1,0.0
2025-11-11 07:16:10.399383-05:00,MNQZ5.CME@RITHMIC,25634.75,SELL,STOP,,1,0.0
2025-11-11 07:16:10.400118-05:00,MNQZ5.CME@RITHMIC,25634.5,SELL,STOP,,1,0.0
2025-11-11 07:16:10.400124-05:00,MNQZ5.CME@RITHMIC,25634.5,SELL,STOP,,1,0.0
2025-11-11 07:16:10.833668-05:00,MNQZ5.CME@RITHMIC,25633.75,SELL,STOP,,1,0.0
2025-11-11 07:16:10.833681-05:00,MNQZ5.CME@RITHMIC,25633.75,SELL,STOP,,1,0.0
2025-11-11 07:16:10.833700-05:00,MNQZ5.CME@RITHMIC,25633.75,SELL,STOP,,1,0.0
2025-11-11 07:16:11.363219-05:00,MNQZ5.CME@RITHMIC,25635.75,BUY,STOP,,1,0.0
2025-11-11 07:16:11.363229-05:00,MNQZ5.CME@RITHMIC,25635.75,BUY,STOP,,1,0.0
2025-11-11 07:16:11.363393-05:00,MNQZ5.CME@RITHMIC,25635.75,BUY,STOP,,1,0.0
2025-11-11 07:16:11.363399-05:00,MNQZ5.CME@RITHMIC,25635.75,BUY,STOP,,1,0.0
2025-11-11 07:16:43.634781-05:00,MNQZ5.CME@RITHMIC,25630.25,SELL,STOP,,1,0.0
2025-11-11 07:16:43.634786-05:00,MNQZ5.CME@RITHMIC,25630.25,SELL,STOP,,1,0.0
2025-11-11 07:16:43.634796-05:00,MNQZ5.CME@RITHMIC,25630.25,SELL,STOP,,1,0.0
2025-11-11 07:16:43.634801-05:00,MNQZ5.CME@RITHMIC,25630.25,SELL,STOP,,1,0.0
2025-11-11 07:17:19.205103-05:00,MNQZ5.CME@RITHMIC,25630.25,BUY,STOP,,1,0.0
2025-11-11 07:18:13.243266-05:00,MNQZ5.CME@RITHMIC,25622.75,SELL,STOP,,1,0.0
2025-11-11 07:18:21.246604-05:00,MNQZ5.CME@RITHMIC,25622.25,SELL,STOP,,2,0.0
2025-11-11 07:18:21.246610-05:00,MNQZ5.CME@RITHMIC,25622.0,SELL,STOP,,1,0.0
2025-11-11 07:18:21.246620-05:00,MNQZ5.CME@RITHMIC,25622.0,SELL,STOP,,1,0.0
2025-11-11 07:18:21.246626-05:00,MNQZ5.CME@RITHMIC,25622.0,SELL,STOP,,1,0.0
2025-11-11 07:18:21.246635-05:00,MNQZ5.CME@RITHMIC,25622.0,SELL,STOP,,1,0.0
2025-11-11 07:18:37.709574-05:00,MNQZ5.CME@RITHMIC,25622.5,SELL,STOP,,1,0.0
2025-11-11 07:19:15.962877-05:00,MNQZ5.CME@RITHMIC,25622.75,BUY,STOP,,1,0.0
2025-11-11 07:20:00.841234-05:00,MNQZ5.CME@RITHMIC,25624.0,BUY,STOP,,1,0.0
2025-11-11 07:20:00.841280-05:00,MNQZ5.CME@RITHMIC,25624.0,BUY,STOP,,1,0.0
2025-11-11 07:20:00.841286-05:00,MNQZ5.CME@RITHMIC,25624.0,BUY,STOP,,1,0.0
2025-11-11 07:20:00.841297-05:00,MNQZ5.CME@RITHMIC,25624.0,BUY,STOP,,2,0.0
2025-11-11 07:20:00.841300-05:00,MNQZ5.CME@RITHMIC,25624.0,BUY,STOP,,1,0.0
2025-11-11 07:20:00.841307-05:00,MNQZ5.CME@RITHMIC,25624.0,BUY,STOP,,1,0.0
2025-11-11 07:20:00.841311-05:00,MNQZ5.CME@RITHMIC,25624.25,BUY,STOP,,1,0.0
2025-11-11 07:20:38.525358-05:00,MNQZ5.CME@RITHMIC,25617.25,SELL,STOP,,1,0.0
2025-11-11 07:20:49.041598-05:00,MNQZ5.CME@RITHMIC,25619.75,BUY,STOP,,1,0.0
2025-11-11 07:21:02.614892-05:00,MNQZ5.CME@RITHMIC,25618.25,SELL,STOP,,1,0.0
2025-11-11 07:22:07.024347-05:00,MNQZ5.CME@RITHMIC,25623.5,SELL,STOP,,1,0.0
2025-11-11 07:22:36.128043-05:00,MNQZ5.CME@RITHMIC,25625.0,BUY,STOP,,1,0.0
2025-11-11 07:22:36.128064-05:00,MNQZ5.CME@RITHMIC,25625.0,BUY,STOP,,1,0.0
2025-11-11 07:22:38.119362-05:00,MNQZ5.CME@RITHMIC,25625.75,BUY,STOP,,1,0.0
2025-11-11 07:22:38.119380-05:00,MNQZ5.CME@RITHMIC,25625.75,BUY,STOP,,1,0.0
2025-11-11 07:22:38.119387-05:00,MNQZ5.CME@RITHMIC,25625.75,BUY,STOP,,1,0.0
2025-11-11 07:22:44.162776-05:00,MNQZ5.CME@RITHMIC,25627.0,BUY,STOP,,1,0.0
2025-11-11 07:22:44.162787-05:00,MNQZ5.CME@RITHMIC,25627.0,BUY,STOP,,1,0.0
2025-11-11 07:22:44.162793-05:00,MNQZ5.CME@RITHMIC,25627.0,BUY,STOP,,2,0.0
2025-11-11 07:22:44.162802-05:00,MNQZ5.CME@RITHMIC,25627.0,BUY,STOP,,2,0.0
2025-11-11 07:22:44.162809-05:00,MNQZ5.CME@RITHMIC,25627.0,BUY,STOP,,1,0.0
2025-11-11 07:22:44.163710-05:00,MNQZ5.CME@RITHMIC,25627.0,BUY,STOP,,2,0.0
2025-11-11 07:22:44.163715-05:00,MNQZ5.CME@RITHMIC,25627.0,BUY,STOP,,1,0.0
2025-11-11 07:22:44.163727-05:00,MNQZ5.CME@RITHMIC,25627.25,BUY,STOP,,1,0.0
2025-11-11 07:22:44.163731-05:00,MNQZ5.CME@RITHMIC,25627.25,BUY,STOP,,1,0.0
2025-11-11 07:22:44.163776-05:00,MNQZ5.CME@RITHMIC,25627.25,BUY,STOP,,1,0.0
2025-11-11 07:22:44.163780-05:00,MNQZ5.CME@RITHMIC,25627.25,BUY,STOP,,1,0.0
2025-11-11 07:22:44.163788-05:00,MNQZ5.CME@RITHMIC,25627.25,BUY,STOP,,2,0.0
2025-11-11 07:22:44.163792-05:00,MNQZ5.CME@RITHMIC,25627.25,BUY,STOP,,1,0.0
2025-11-11 07:22:44.184511-05:00,MNQZ5.CME@RITHMIC,25627.75,BUY,STOP,,1,0.0
2025-11-11 07:22:44.203827-05:00,MNQZ5.CME@RITHMIC,25628.25,BUY,STOP,,1,0.0
2025-11-11 07:22:44.232994-05:00,MNQZ5.CME@RITHMIC,25629.0,BUY,STOP,,1,0.0
2025-11-11 07:22:44.233012-05:00,MNQZ5.CME@RITHMIC,25629.0,BUY,STOP,,1,0.0
2025-11-11 07:22:44.233023-05:00,MNQZ5.CME@RITHMIC,25629.0,BUY,STOP,,2,0.0
2025-11-11 07:22:44.233040-05:00,MNQZ5.CME@RITHMIC,25629.0,BUY,STOP,,1,0.0
2025-11-11 07:22:44.233046-05:00,MNQZ5.CME@RITHMIC,25629.0,BUY,STOP,,1,0.0
2025-11-11 07:22:44.233057-05:00,MNQZ5.CME@RITHMIC,25629.25,BUY,STOP,,1,0.0
2025-11-11 07:22:44.233064-05:00,MNQZ5.CME@RITHMIC,25629.25,BUY,STOP,,2,0.0
2025-11-11 07:22:44.233075-05:00,MNQZ5.CME@RITHMIC,25629.25,BUY,STOP,,2,0.0
