timestamp,symbol,event_type,side,price,detected_size,estimated_total_size,fill_count,confidence_score,duration_ms,session_id,cbdr_window,iceberg_subtype
2025-11-13 07:15:33.124980,MNQZ5.CME@RITHMIC,STOP,BUY,25564.5,2,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:15:33.124991,MNQZ5.CME@RITHMIC,STOP,BUY,25564.5,1,3,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:15:33.125020,MNQZ5.CME@RITHMIC,STOP,BUY,25564.5,1,4,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:15:33.125026,MNQZ5.CME@RITHMIC,STOP,BUY,25564.5,1,5,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:17:30.519807,MNQZ5.CME@RITHMIC,STOP,SELL,25572.75,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:25:22.053047,MNQZ5.CME@RITHMIC,STOP,BUY,25564.25,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:25:22.722926,MNQZ5.CME@RITHMIC,STOP,BUY,25564.5,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:25:22.795872,MNQZ5.CME@RITHMIC,STOP,BUY,25565.5,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:25:43.858045,MNQZ5.CME@RITHMIC,STOP,SELL,25561.5,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:25:43.858064,MNQZ5.CME@RITHMIC,STOP,SELL,25561.5,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:25:43.858096,MNQZ5.CME@RITHMIC,STOP,SELL,25561.5,2,4,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:25:43.858106,MNQZ5.CME@RITHMIC,STOP,SELL,25561.5,1,5,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:27:49.015703,MNQZ5.CME@RITHMIC,STOP,BUY,25570.25,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:27:53.665000,MNQZ5.CME@RITHMIC,STOP,SELL,25569.0,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:28:32.893983,MNQZ5.CME@RITHMIC,STOP,SELL,25576.75,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:29:24.596946,MNQZ5.CME@RITHMIC,STOP,SELL,25575.25,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:29:24.596957,MNQZ5.CME@RITHMIC,STOP,SELL,25575.25,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:29:52.305925,MNQZ5.CME@RITHMIC,STOP,BUY,25575.0,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,OUTSIDE_CBDR,
2025-11-13 07:30:51.336672,MNQZ5.CME@RITHMIC,STOP,BUY,25578.75,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:32:25.308294,MNQZ5.CME@RITHMIC,STOP,BUY,25574.0,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:35:10.709915,MNQZ5.CME@RITHMIC,STOP,SELL,25581.25,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:39:02.862162,MNQZ5.CME@RITHMIC,STOP,SELL,25607.25,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:39:05.116293,MNQZ5.CME@RITHMIC,STOP,SELL,25607.75,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:40:25.032448,MNQZ5.CME@RITHMIC,STOP,SELL,25604.25,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:06.904199,MNQZ5.CME@RITHMIC,STOP,BUY,25609.75,2,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:19.623536,MNQZ5.CME@RITHMIC,STOP,SELL,25605.5,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:19.623546,MNQZ5.CME@RITHMIC,STOP,SELL,25605.5,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:19.623551,MNQZ5.CME@RITHMIC,STOP,SELL,25605.5,1,3,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:19.623560,MNQZ5.CME@RITHMIC,STOP,SELL,25605.5,2,5,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:19.623565,MNQZ5.CME@RITHMIC,STOP,SELL,25605.25,1,6,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:37.063242,MNQZ5.CME@RITHMIC,STOP,SELL,25604.5,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:37.063252,MNQZ5.CME@RITHMIC,STOP,SELL,25604.5,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:40.383399,MNQZ5.CME@RITHMIC,STOP,SELL,25602.0,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
